"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","database","comparison"
"GO:0090596","sensory organ morphogenesis",161,0.494419931315629,1.55508177733658,0.00123304562268804,0.645833333333333,0.645833333333333,3440,"tags=32%, list=21%, signal=26%","2736/2487/2254/4211/85407/3249/6935/54549/24147/6096/222662/124590/1290/161497/6299/56603/283571/2200/4237/5797/2047/7020/84189/639/57053/1295/57010/8013/57822/28514/5080/7849/121227/8516/5629/6094/2138/51168/9132/57728/25836/57096/79955/2260/7422/57216/8842/5754/112724/1856/25987/23554","GO","0"
"GO:0061061","muscle structure development",447,0.397608910139763,1.35863084586766,0.00218340611353712,0.645833333333333,0.645833333333333,3594,"tags=25%, list=22%, signal=20%","1013/3792/2254/91653/2121/93166/51676/93649/85407/6935/844/3479/100271849/9148/150921/26585/23414/6261/10324/7480/51725/4878/825/3399/84665/4856/4092/341676/2247/5156/3679/117166/642658/2022/552/56603/9099/283571/58/26548/7004/1073/4621/93145/9444/3756/6546/7881/287/401265/90342/1958/9254/343263/8819/4607/409/91807/6525/4625/11155/1310/493829/22801/4773/28514/494470/6604/677/51460/6901/1063/347273/8516/3488/9547/8740/5914/5629/23345/6926/2146/7026/57817/25988/23462/607/6876/2065/23135/43/7161/2260/4303/55692/7422/57216/57591/26263/3475/56203/150094/627/23411/9328/79652/8536/1293/57486/2275/7040/51548","GO","0"
"GO:0001501","skeletal system development",353,0.433016594696996,1.45329515312876,0.00224466891133558,0.645833333333333,0.645833333333333,1978,"tags=17%, list=12%, signal=16%","2736/2487/2254/2313/4838/1278/2121/4211/5744/6935/8600/338773/60484/3479/4883/353500/176/4256/7704/57453/51738/158326/26585/9507/6261/632/3481/1290/8313/3623/7480/1300/4665/4856/8111/2247/5156/1101/117166/7481/642658/2022/56603/4094/1302/2200/10234/7004/389058/7020/7703/5027/651/80169/404037/81029/5251/4982/197/1310/9104","GO","0"
"GO:0042692","muscle cell differentiation",290,0.426517785754045,1.41045504629096,0.00230149597238205,0.645833333333333,0.645833333333333,2851,"tags=21%, list=17%, signal=17%","1013/3792/91653/93166/51676/93649/6935/844/3479/26585/6261/10324/7480/51725/4878/825/3399/84665/4856/341676/5156/117166/2022/552/56603/283571/58/1073/4621/93145/9444/3756/6546/7881/287/90342/9254/343263/4607/409/91807/11155/493829/4773/28514/6604/677/8516/3488/9547/8740/5914/5629/23345/6926/2146/57817/25988/23462/607","GO","0"
"GO:0061448","connective tissue development",181,0.475854982663184,1.5111151523404,0.00245098039215686,0.645833333333333,0.645833333333333,1817,"tags=16%, list=11%, signal=14%","2828/2736/2487/2254/2121/5744/6935/353500/4256/7704/51738/26585/8313/59/7480/947/1300/4856/2247/10891/7481/3398/642658/4094/1302/64102/1958/651/81029","GO","0"
"GO:0003013","circulatory system process",361,0.411114008671195,1.38113513590559,0.00334821428571429,0.645833333333333,0.645833333333333,2390,"tags=22%, list=14%, signal=19%","6263/3792/1579/4973/5139/6324/2313/219537/1278/4311/844/81285/2028/4883/3753/9992/60598/29953/482/6261/783/785/59/778/947/30845/4878/91608/80763/3757/4092/146/4888/3398/1907/151/8529/55800/552/6271/26251/239/100/3291/93589/4881/40/8398/6546/287/290/5797/7220/719/1359/3162/3750/9254/5540/4607/59283/91807/4625/66002/6518/6327/2983/9722/776/10800/28514/2053/7136/388591/10848/6865/487/6901/6330","GO","0"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",92,-0.611589735800252,-2.02551608680741,0.00408163265306122,0.645833333333333,0.645833333333333,5016,"tags=87%, list=30%, signal=61%","6227/6167/6181/6730/6152/6205/6231/6141/6729/6169/29927/6234/6154/6207/6192/6156/6134/6201/6747/6224/6210/6160/6135/6176/6734/6233/6168/6171/6139/6128/6164/7311/6165/6228/11224/6223/10952/6235/6204/6217/6731/6142/6170/6206/6143/6138/6124/6125/11231/23521/6173/6193/6188/6208/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/58477/6147","GO","0"
"GO:0006613","cotranslational protein targeting to membrane",97,-0.60320564296339,-2.03084238180773,0.00421940928270042,0.645833333333333,0.645833333333333,5016,"tags=84%, list=30%, signal=58%","6227/6167/6181/6730/6152/6205/6231/6141/6729/6169/29927/6234/23204/6154/6207/6192/6156/6134/6201/6747/6224/6210/6160/6135/6176/6734/6233/6168/6171/6139/6128/6164/7311/6165/6228/11224/6223/10952/6235/6204/6217/6731/6142/6170/6206/6143/6138/6124/6125/11231/23521/6173/6193/6188/6208/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/6136/6229/6161/4736/6189/6175/58477/6147","GO","0"
"GO:0045047","protein targeting to ER",101,-0.577092672916397,-1.95443708240473,0.00431034482758621,0.645833333333333,0.645833333333333,5016,"tags=80%, list=30%, signal=56%","6227/6167/6181/6730/6152/6205/6231/6141/6729/6169/29927/6234/6154/6207/6192/6156/6134/6201/6747/6224/6210/6160/6135/6176/6734/6233/6168/6171/6139/6128/6164/7311/6165/6228/11224/6223/10952/6235/6204/6217/6731/6142/6170/6206/6143/6138/6124/6125/11231/23521/6173/6193/6188/6208/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/23480/6136/6229/6161/4736/6189/6175/58477/6147","GO","0"
"GO:0072599","establishment of protein localization to endoplasmic reticulum",105,-0.58203108331536,-1.9868386082115,0.00436681222707424,0.645833333333333,0.645833333333333,5016,"tags=79%, list=30%, signal=55%","6227/6167/6181/6730/6152/6205/6231/6141/6729/6169/29927/6234/6154/6207/6192/6156/6134/6201/6747/6224/6210/6160/6135/6176/6734/6233/6168/6171/6139/6128/6164/7311/6165/6228/11224/6223/10890/10952/6235/6204/6217/6731/6142/6170/6206/6143/6138/6124/6125/11231/23521/6173/6193/6188/6208/6191/9349/6137/6146/6157/6218/6202/6132/6122/6130/6129/6155/9045/6159/6187/6222/3921/23480/6136/6229/6161/4736/6189/6175/58477/6147/6262","GO","0"
