"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment","database","comparison"
"R-HSA-1474244","Extracellular matrix organization",227,0.422354590639488,1.38531562700776,0.00956937799043062,1,1,2398,"tags=24%, list=15%, signal=21%","1302/3695/84467/283208/7450/1310/3681/1285/284217/4322/7143/84695/8076/1293/9509/4320/23127/1300/1088/90187/3687/3371/63827/4146/22801/3683/4239/5118/10516/4237/7276/4321/4312/3791/3817/1295/4052/8515/4054/7057/10319/2247/10893/825/3911/1290/3684/1634/7043/1307/7448/1756/4811/6678","REACTOME","12"
"R-HSA-6803204","TP53 Regulates Transcription of Genes Involved in Cytochrome C Release",20,0.735663815931852,1.67780606020481,0.0126126126126126,1,1,29,"tags=10%, list=0%, signal=10%","7161/63970","REACTOME","12"
"R-HSA-391160","Signal regulatory protein (SIRP) family interactions",12,0.826335387245565,1.68050060895902,0.014760147601476,1,1,534,"tags=17%, list=3%, signal=16%","10326/653509","REACTOME","12"
"R-HSA-1474290","Collagen formation",66,0.55592800886827,1.55513417327419,0.019434628975265,1,1,1251,"tags=18%, list=8%, signal=17%","1302/283208/1310/1285/4322/84695/1293/9509/23127/1300/5118/1295","REACTOME","12"
"R-HSA-112316","Neuronal System",237,0.411314650597073,1.35239175746648,0.0204724409448819,1,1,1391,"tags=19%, list=8%, signal=18%","610/3747/6582/1145/2915/2903/2562/773/5923/3782/9229/23416/6540/2898/2900/6853/6507/815/2570/10089/23236/3773/9379/56666/111/2785/81033/3767/2788/6538/27092/2567/1136/3756/347730/9254/9454/3743/9495/2890/3770/6532/3777/5924/320","REACTOME","12"
"R-HSA-114452","Activation of BH3-only proteins",29,0.665918001455158,1.62407300651237,0.0217785843920145,1,1,2901,"tags=31%, list=18%, signal=26%","7161/8626/10000/7029/90427/7027/7157/207/10018","REACTOME","12"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",111,-0.47023505854257,-1.49445022101882,0.0220048899755501,1,1,7094,"tags=76%, list=43%, signal=43%","6206/6234/9349/6124/23521/1650/6168/6189/6142/6191/6136/6122/28972/6224/6175/6748/6176/6155/60559/6141/6231/6156/6230/6208/6235/6194/6217/29927/51065/25873/6130/6139/9045/6223/6232/6154/6187/6146/6218/6144/6209/6228/23478/6143/6132/6204/6170/6134/6227/6135/6233/6210/23480/4736/6157/6159/6188/6185/6745/6164/6165/6207/6747/6222/6161/90701/6173/6171/10952/6160/9789/6137/6202/2197/6169/6728/6152/6726/6229/6731/200916/58477/6133","REACTOME","12"
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes",48,0.574836747493844,1.54103146178736,0.0291595197255575,1,1,1251,"tags=21%, list=8%, signal=19%","1302/283208/1310/1285/1293/9509/23127/1300/5118/1295","REACTOME","12"
"R-HSA-192823","Viral mRNA Translation",88,-0.48225316193618,-1.47498120806601,0.0311750599520384,1,1,7070,"tags=77%, list=43%, signal=44%","6234/9349/6124/23521/6168/6189/6142/6191/6136/6122/6224/6175/6176/6155/6141/6231/6156/6230/6208/6235/6194/2926/6217/51065/25873/6130/6139/9045/6223/6232/5611/6154/6187/6146/6218/6144/6209/6228/6143/6132/6204/6170/6134/6227/6135/6233/6210/4736/6157/6159/6188/6164/6165/6207/6222/6161/6173/6171/6160/6137/6202/2197/6169/6152/6229/200916/6133","REACTOME","12"
"R-HSA-156902","Peptide chain elongation",88,-0.476400050742589,-1.45707934717493,0.0335731414868106,1,1,7070,"tags=75%, list=43%, signal=43%","6234/9349/6124/23521/6168/6189/6142/6191/6136/6122/6224/6175/6176/6155/6141/6231/6156/6230/6208/6235/6194/6217/51065/25873/6130/6139/9045/6223/6232/6154/6187/6146/6218/6144/6209/6228/6143/6132/6204/6170/6134/6227/6135/6233/6210/4736/6157/6159/6188/6164/6165/6207/6222/6161/6173/6171/6160/6137/6202/2197/6169/6152/6229/200916/6133","REACTOME","12"
"R-HSA-72766","Translation",156,-0.399944958780126,-1.33360221961822,0.0348258706467662,1,1,6773,"tags=60%, list=41%, signal=36%","6189/26986/6142/27335/6191/6136/6122/8666/28972/6224/6175/6748/6176/6155/60559/6141/6231/6156/8665/6230/6208/6235/6194/6217/10480/29927/51065/25873/6130/6139/9045/6223/2935/6232/6154/6187/6146/6218/6144/6209/6228/23478/6143/8667/6132/6204/6170/6134/6227/6135/6233/6210/23480/4736/51504/6157/6159/3646/6188/6185/6745/6164/6165/6207/6747/6222/6161/1974/90701/6173/6171/10952/6160/9789/6137/6202/29104/2197/6169/1965/6728/6152/6726/1964/6229/1917/23708/6731/200916/8891/58477/728689/6133","REACTOME","12"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",111,-0.439256403112944,-1.39599720775953,0.0366748166259169,1,1,6773,"tags=65%, list=41%, signal=39%","6189/26986/6142/27335/6191/6136/6122/8666/6224/6175/6176/6155/6141/6231/6156/8665/6230/6208/6235/6194/6217/10480/51065/25873/6130/6139/9045/6223/6232/6154/6187/6146/6218/6144/6209/6228/6143/8667/6132/6204/6170/6134/6227/6135/6233/6210/4736/6157/6159/3646/6188/6164/6165/6207/6222/6161/1974/6173/6171/6160/6137/6202/2197/6169/1965/6152/1964/6229/200916/728689/6133","REACTOME","12"
"R-HSA-975298","Ligand-gated ion channel transport",12,0.771035240970613,1.56803788386583,0.03690036900369,1,1,1379,"tags=50%, list=8%, signal=46%","8001/9177/2562/2570/2567/2743","REACTOME","12"
"R-HSA-2408557","Selenocysteine synthesis",91,-0.469129896198818,-1.4470663062006,0.0378250591016548,1,1,7070,"tags=76%, list=43%, signal=44%","6234/9349/6124/23521/6168/6189/6142/6191/6136/6122/6224/6175/6176/6155/6141/6231/6156/6230/6208/6235/60678/6194/6217/51065/25873/6130/6139/9045/6223/6232/51091/6154/6187/6146/6218/6144/6209/6228/6143/6132/6204/6170/6134/6227/6135/6233/6210/4736/6157/6159/6188/6164/6165/6207/6222/6161/6173/6171/6160/6137/6202/2197/6169/6152/6229/200916/118672/6133","REACTOME","12"
"R-HSA-72764","Eukaryotic Translation Termination",92,-0.472074071048015,-1.45310757779384,0.0380047505938242,1,1,7070,"tags=76%, list=43%, signal=44%","6234/9349/6124/23521/6168/6189/6142/6191/6136/6122/6224/6175/6176/6155/6141/6231/6156/6230/6208/6235/6194/6217/51065/25873/6130/6139/9045/6223/2935/6232/6154/6187/6146/6218/6144/6209/6228/6143/6132/6204/6170/6134/6227/6135/6233/6210/4736/51504/6157/6159/6188/6164/6165/6207/6222/6161/6173/6171/6160/6137/6202/29104/2197/6169/6152/6229/23708/200916/6133","REACTOME","12"
"R-HSA-2029485","Role of phospholipids in phagocytosis",20,-0.697823824502344,-1.60362958593116,0.0380313199105145,1,1,1624,"tags=20%, list=10%, signal=18%","5336/917/919","REACTOME","12"
"R-HSA-977225","Amyloid fiber formation",68,0.525086031201743,1.47516262551295,0.0385964912280702,1,1,2941,"tags=31%, list=18%, signal=25%","9627/4878/8337/8351/8355/8357/796/8339/8341/8363/7276/128312/8970/335/5071/8365/3012/8370/3017/3013/8353","REACTOME","12"
"R-HSA-109606","Intrinsic Pathway for Apoptosis",41,0.585221214034779,1.53204773856001,0.0395869191049914,1,1,3040,"tags=24%, list=18%, signal=20%","7161/8626/10000/7029/90427/7027/7157/207/10018/581","REACTOME","12"
"R-HSA-156842","Eukaryotic Translation Elongation",92,-0.467416978749655,-1.43877242040168,0.0403800475059382,1,1,7070,"tags=73%, list=43%, signal=42%","6234/9349/6124/23521/6168/6189/6142/6191/6136/6122/6224/6175/6176/6155/6141/6231/6156/6230/6208/6235/6194/6217/51065/25873/6130/6139/9045/6223/6232/6154/6187/6146/6218/6144/6209/6228/6143/6132/6204/6170/6134/6227/6135/6233/6210/4736/6157/6159/6188/6164/6165/6207/6222/6161/6173/6171/6160/6137/6202/2197/6169/6152/6229/1917/200916/6133","REACTOME","12"
"R-HSA-72689","Formation of a pool of free 40S subunits",101,-0.458297498204825,-1.42742806993245,0.0406698564593301,1,1,6773,"tags=68%, list=41%, signal=41%","6189/6142/27335/6191/6136/6122/8666/6224/6175/6176/6155/6141/6231/6156/8665/6230/6208/6235/6194/6217/10480/51065/25873/6130/6139/9045/6223/6232/6154/6187/6146/6218/6144/6209/6228/6143/8667/6132/6204/6170/6134/6227/6135/6233/6210/4736/6157/6159/3646/6188/6164/6165/6207/6222/6161/6173/6171/6160/6137/6202/2197/6169/6152/1964/6229/200916/728689/6133","REACTOME","12"
"R-HSA-2029482","Regulation of actin dynamics for phagocytic cup formation",55,-0.523915794124657,-1.48696442895326,0.0410958904109589,1,1,431,"tags=13%, list=3%, signal=12%","7409/3071/917/7454/919/10451","REACTOME","12"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",112,-0.425282234279467,-1.35507271333236,0.0462287104622871,1,1,7070,"tags=69%, list=43%, signal=40%","6234/9349/6124/1983/23521/6168/6189/6142/27335/6191/6136/6122/8666/6224/6175/6176/6155/6141/6231/6156/8665/6230/6208/6235/6194/6217/10480/51065/25873/6130/6139/9045/6223/6232/6154/6187/6146/6218/6144/6209/6228/6143/8667/6132/6204/6170/6134/6227/6135/6233/6210/4736/6157/6159/3646/6188/6164/6165/6207/6222/6161/1974/6173/6171/6160/6137/6202/2197/6169/1965/6152/1964/6229/200916/728689/6133","REACTOME","12"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",94,-0.45050183584033,-1.39157850049732,0.0476190476190476,1,1,7070,"tags=74%, list=43%, signal=43%","6234/9349/6124/23521/6168/6189/26986/6142/6191/6136/6122/6224/6175/6176/6155/6141/6231/6156/6230/6208/6235/6194/6217/51065/25873/6130/6139/9045/6223/2935/6232/6154/6187/6146/22916/6218/6144/6209/6228/6143/6132/6204/6170/6134/6227/6135/6233/6210/4736/6157/6159/6188/6164/6165/6207/6222/6161/6173/6171/6160/6137/6202/2197/6169/6152/6229/23708/200916/6133","REACTOME","12"
"R-HSA-156584","Cytosolic sulfonation of small molecules",18,-0.695699884475065,-1.58729357378539,0.0497835497835498,1,1,2992,"tags=44%, list=18%, signal=36%","10861/9060/6819/6820/6818/25830/27233","REACTOME","12"
"R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis",77,-0.458956092895591,-1.37330681105399,0.0502392344497608,1,1,2191,"tags=12%, list=13%, signal=10%","7409/3071/3708/5336/917/7454/919/10451","REACTOME","12"
"R-HSA-5633008","TP53 Regulates Transcription of Cell Death Genes",44,0.56353375495827,1.47676490219366,0.0524475524475524,1,1,2584,"tags=23%, list=16%, signal=19%","7161/63970/8626/332/94241/58484/9540/10650/7157/355","REACTOME","12"
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",38,0.564790168726346,1.46153796944933,0.0571923743500867,1,1,2941,"tags=42%, list=18%, signal=35%","8337/8351/8355/8357/8339/8341/8363/128312/3817/8970/8365/3012/8370/3017/3013/8353","REACTOME","12"
"R-HSA-6803205","TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain",14,0.716072436047637,1.49520465794414,0.0606617647058824,1,1,2538,"tags=36%, list=15%, signal=30%","7161/8626/332/9540/7157","REACTOME","12"
"R-HSA-3214815","HDACs deacetylate histones",62,0.509537256723389,1.41285452484551,0.0636042402826855,1,1,2978,"tags=34%, list=18%, signal=28%","8337/8351/8355/8357/8339/8341/8363/128312/8970/83933/8329/8365/2874/1108/3012/79685/8370/3017/3013/8353/57459","REACTOME","12"
"R-HSA-2514853","Condensation of Prometaphase Chromosomes",11,0.757327839120958,1.49763815266556,0.0662878787878788,1,1,408,"tags=18%, list=2%, signal=18%","23397/64151","REACTOME","12"
"R-HSA-112315","Transmission across Chemical Synapses",155,0.406266159208162,1.2774745424417,0.0682196339434276,1,1,1459,"tags=19%, list=9%, signal=17%","6582/1145/2903/2562/773/5923/6540/2898/2900/6853/6507/815/2570/23236/3773/111/2785/2788/6538/27092/2567/1136/9254/9495/2890/6532/5924/320/1742","REACTOME","12"
"R-HSA-3928665","EPH-ephrin mediated repulsion of cells",42,-0.522380500916084,-1.40261540524829,0.0684931506849315,1,1,714,"tags=12%, list=4%, signal=11%","8218/2043/2047/10451","REACTOME","12"
"R-HSA-376172","DSCAM interactions",10,0.765227234276837,1.49573814299184,0.0703422053231939,1,1,1467,"tags=30%, list=9%, signal=27%","57453/6300/1630","REACTOME","12"
"R-HSA-210500","Glutamate Neurotransmitter Release Cycle",21,-0.630673183078578,-1.47874887734113,0.0725274725274725,1,1,490,"tags=29%, list=3%, signal=28%","6511/8497/22999/6512/6506","REACTOME","12"
"R-HSA-2022870","Chondroitin sulfate biosynthesis",15,0.693093211951907,1.47676611190748,0.0740072202166065,1,1,2230,"tags=47%, list=13%, signal=40%","166012/55790/63827/56548/55501/83539/1634","REACTOME","12"
"R-HSA-451306","Ionotropic activity of Kainate Receptors",10,0.753493782168674,1.47280355430886,0.0760456273764259,1,1,1942,"tags=40%, list=12%, signal=35%","2898/2900/1742/83988","REACTOME","12"
"R-HSA-451308","Activation of Ca-permeable Kainate Receptor",10,0.753493782168674,1.47280355430886,0.0760456273764259,1,1,1942,"tags=40%, list=12%, signal=35%","2898/2900/1742/83988","REACTOME","12"
"R-HSA-975110","TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling",14,0.692571509152557,1.44613323221873,0.0772058823529412,1,1,2059,"tags=21%, list=12%, signal=19%","54106/51284/3654","REACTOME","12"
"R-HSA-140342","Apoptosis induced DNA fragmentation",10,-0.732866481392644,-1.47406305700357,0.0777310924369748,1,1,784,"tags=30%, list=5%, signal=29%","3148/3007","REACTOME","12"
"R-HSA-211227","Activation of DNA fragmentation factor",10,-0.732866481392644,-1.47406305700357,0.0777310924369748,1,1,784,"tags=30%, list=5%, signal=29%","3148/3007","REACTOME","12"
"R-HSA-5617472","Activation of anterior HOX genes in hindbrain development during early embryogenesis",87,0.448522558303873,1.30743859397514,0.0799319727891157,1,1,2953,"tags=31%, list=18%, signal=26%","3201/8337/4211/8351/3221/8355/8357/8339/8341/8363/128312/8085/8970/84962/3200/8365/3012/63925/11091/7403/5433/8370/3017/3013/5430/8353/5438","REACTOME","12"
"R-HSA-5619507","Activation of HOX genes during differentiation",87,0.448522558303873,1.30743859397514,0.0799319727891157,1,1,2953,"tags=31%, list=18%, signal=26%","3201/8337/4211/8351/3221/8355/8357/8339/8341/8363/128312/8085/8970/84962/3200/8365/3012/63925/11091/7403/5433/8370/3017/3013/5430/8353/5438","REACTOME","12"
